ID,Text,Label,Parent_Text,Hashtags,Language_Script,Sentiment
71,"Ye news channels sirf sensationalism failate hain, truth nahi.",hate,N/A,#media,Mixed,Negative
72,Mujhe ye new web series binge-worthy lagi.,non-hate,N/A,#entertainment,Mixed,Positive
73,"Ye sarkar bas tax badhati hai, relief kuch nahi.",hate,N/A,#politics,Mixed,Negative
74,Aaj subah ki chai ne din bana diya.,non-hate,N/A,#daily life,Mixed,Positive
75,Tum jaise log hi religious harmony ko kharab karte ho.,hate,Live and let live.,#religion,Mixed,Negative
76,I think fitness apps are a game-changer.,non-hate,N/A,#health,English,Positive
77,Ye influencers ka content cringe aur fake hai.,hate,N/A,#social media,Mixed,Negative
78,"Kal ka workout tough tha, but results dikh rahe hain.",non-hate,N/A,#fitness,Mixed,Positive
79,Tumhare jaise log hi caste ko issue banate ho.,hate,Caste should not define us.,#social issues,Mixed,Negative
80,Mujhe ye new movie ka storyline refreshing laga.,non-hate,N/A,#movies,Mixed,Positive
81,"Ye bowler ka performance pathetic hai, retire karo.",hate,N/A,#sports,Mixed,Negative
82,"Aaj ka sunset breathtaking tha, photo click kar li.",non-hate,N/A,#daily life,Mixed,Positive
83,"Ye activists sirf attention seek karte hain, real change nahi.",hate,N/A,#social issues,Mixed,Negative
84,I love how this gadget simplifies my routine.,non-hate,N/A,#technology,English,Positive
85,Tum jaise log hi patriarchy ko support karte ho.,hate,Gender equality is the goal.,#gender,Mixed,Negative
86,Mujhe ye online tutoring platform effective lagta hai.,non-hate,N/A,#education,Mixed,Positive
87,"Ye log recycling ka lecture dete hain, khud kuch nahi karte.",hate,N/A,#environment,Mixed,Negative
88,"Aaj ka concert energetic tha, crowd ne enjoy kiya.",non-hate,N/A,#music,Mixed,Positive
89,Ye reservation policy talent ko kill karti hai.,hate,N/A,#social issues,Mixed,Negative
90,Working remotely has improved my work-life balance.,non-hate,N/A,#work,English,Positive
91,Tum jaise log hi desh ke against propaganda chalate ho.,hate,Unity is our strength.,#nationalism,Mixed,Negative
92,Mujhe ye homemade meal ka taste nostalgic lagta hai.,non-hate,N/A,#food,Mixed,Positive
93,Ye TV shows ka drama over-the-top aur boring hai.,hate,N/A,#entertainment,Mixed,Negative
94,Ye new laptop ka speed impressive hai.,non-hate,N/A,#technology,Mixed,Positive
95,Tumhare jaise log hi sportsmanship ko kharab karte ho.,hate,Sports should unite us.,#sports,Mixed,Negative
96,Daily yoga ne mera focus improve kiya hai.,non-hate,N/A,#health,Mixed,Positive
97,Ye government ka decision public ke against hai.,hate,N/A,#politics,Mixed,Negative
98,I think podcasts are a great way to learn.,non-hate,N/A,#education,English,Positive
99,Tum jaise log hi sexism ko promote karte ho.,hate,Equality for all.,#gender,Mixed,Negative
100,Mujhe ye new cafe ka decor bohot cool lagta hai.,non-hate,N/A,#food,Mixed,Positive
101,"Ye foreigners apni culture thopte hain, respect nahi karte.",hate,N/A,#nationalism,Mixed,Negative
102,Aaj ka internet outage ne pura din waste kar diya.,non-hate,N/A,#daily life,Mixed,Negative
103,Tumhare jaise log hi trolling ko fun samajhte ho.,hate,Keep social media positive.,#social media,Mixed,Negative
104,This new game app is super addictive.,non-hate,N/A,#technology,English,Positive
105,Ye singers ka autotune overuse irritating hai.,hate,N/A,#music,Mixed,Negative
106,Mujhe lagta hai ki therapy mental health ke liye zaroori hai.,non-hate,N/A,#health,Mixed,Positive
107,"Ye log equality ka naatak karte hain, asliyat kuch aur hai.",hate,N/A,#social issues,Mixed,Negative
108,Kal ka workshop practical aur helpful tha.,non-hate,N/A,#education,Mixed,Positive
109,Ye sarkar ka propaganda media ko control karta hai.,hate,N/A,#politics,Mixed,Negative
110,I think e-learning platforms are the future.,non-hate,N/A,#education,English,Positive
111,Tum jaise log hi communal hate spread karte ho.,hate,Peaceful coexistence matters.,#religion,Mixed,Negative
112,"Aaj ka project deadline tough tha, but ho gaya.",non-hate,N/A,#work,Mixed,Positive
113,Ye YouTubers ka content repetitive aur pointless hai.,hate,N/A,#social media,Mixed,Negative
114,Mujhe ye smart home device bohot convenient lagta hai.,non-hate,N/A,#technology,Mixed,Positive
115,"Ye team ka strategy useless hai, haarna pakka.",hate,N/A,#sports,Mixed,Negative
116,"Aaj se running start ki, stamina build karna hai.",non-hate,N/A,#fitness,Mixed,Positive
117,"Ye neta log promises karte hain, deliver kuch nahi.",hate,N/A,#politics,Mixed,Negative
118,I believe green energy can save the planet.,non-hate,N/A,#environment,English,Positive
119,Tum jaise log hi discrimination ko justify karte ho.,hate,Fairness matters.,#social issues,Mixed,Negative
120,Ye new dessert shop ka taste mind-blowing hai.,non-hate,N/A,#food,Mixed,Positive
121,"Ye outsiders apna agenda leke aate hain, reject karo.",hate,N/A,#nationalism,Mixed,Negative
122,Aaj ka rain ne mood refreshing kar diya.,non-hate,N/A,#daily life,Mixed,Positive
123,Tumhare jaise log hi online debates ko toxic banate ho.,hate,Healthy discussions please.,#social media,Mixed,Negative
124,This new camera feature photography ko enhance karta hai.,non-hate,N/A,#technology,Mixed,Positive
125,"Ye film ka direction hopeless hai, waste of time.",hate,N/A,#movies,Mixed,Negative
126,Mujhe lagta hai ki tree planting drives effective hain.,non-hate,N/A,#environment,Mixed,Positive
127,Tum jaise log hi women ko judge karte ho.,hate,Respect women.,#gender,Mixed,Negative
128,"Kal ka lecture engaging tha, bohot seekha.",non-hate,N/A,#education,Mixed,Positive
129,Ye government ka law bas public ko harass karta hai.,hate,N/A,#politics,Mixed,Negative
130,I think virtual reality will change gaming.,non-hate,N/A,#technology,English,Positive
131,Tum jaise log hi religious unity ko todte ho.,hate,Harmony is essential.,#religion,Mixed,Negative
132,Aaj ka gym session tiring but satisfying tha.,non-hate,N/A,#fitness,Mixed,Positive
133,Ye influencers ka paid promotion obvious aur annoying hai.,hate,N/A,#social media,Mixed,Negative
134,Mujhe ye new headphones ka sound quality pasand hai.,non-hate,N/A,#technology,Mixed,Positive
135,Ye coach ka decision team ko barbaad kar raha hai.,hate,N/A,#sports,Mixed,Negative
136,Healthy diet ne meri energy boost kar di hai.,non-hate,N/A,#health,Mixed,Positive
137,Ye sarkar ka budget elitist aur impractical hai.,hate,N/A,#politics,Mixed,Negative
138,I think art therapy is great for stress relief.,non-hate,N/A,#health,English,Positive
139,Tum jaise log hi social progress ko block karte ho.,hate,Change is necessary.,#social issues,Mixed,Negative
140,Ye new bakery ka cake delicious tha.,non-hate,N/A,#food,Mixed,Positive
141,"Ye immigrants jobs churate hain, inko rokna chahiye.",hate,N/A,#nationalism,Mixed,Negative
142,Aaj ka evening walk relaxing tha.,non-hate,N/A,#daily life,Mixed,Positive
143,Tumhare jaise log hi cyberbullying ko normal banate ho.,hate,Online respect matters.,#social media,Mixed,Negative
144,This app ka update ne usability improve ki.,non-hate,N/A,#technology,Mixed,Positive
145,Ye serial ka plot bakwas aur dragged hai.,hate,N/A,#entertainment,Mixed,Negative
146,Mujhe lagta hai ki pollution control laws strict hone chahiye.,non-hate,N/A,#environment,Mixed,Positive
147,Tum jaise log hi gender roles ko enforce karte ho.,hate,Break stereotypes.,#gender,Mixed,Negative
148,Kal ka online class interactive aur fun tha.,non-hate,N/A,#education,Mixed,Positive
149,Ye neta ka speech divisive aur hateful tha.,hate,N/A,#politics,Mixed,Negative
150,I think renewable energy is a smart investment.,non-hate,N/A,#environment,English,Positive
151,"Ye neta log bas jhooth bolte hain, public ko fool banate hain.",hate,N/A,#politics,Mixed,Negative
152,"Aaj ka episode bohot mast tha, twists ne dil jeet liya.",non-hate,N/A,#entertainment,Mixed,Positive
153,Subah ka coffee bina din start nahi hota.,non-hate,N/A,#daily life,Mixed,Neutral
154,"Ye log apne caste ke naam pe vote mangte hain, shame!",hate,N/A,#social issues,Mixed,Negative
155,"Naya smartwatch ka design killer hai, buy karna padega.",non-hate,N/A,#technology,Mixed,Positive
156,"Ye bowler ekdum useless hai, runs hi deta hai.",hate,N/A,#sports,Mixed,Negative
157,"Fruits khane se immunity strong hoti hai, try karo.",non-hate,N/A,#health,Mixed,Positive
158,"Ye professors ko padhana nahi aata, bas lecture dete hain.",hate,N/A,#education,Mixed,Negative
159,Cycle chalana environment aur health dono ke liye good hai.,non-hate,N/A,#environment,Mixed,Positive
160,"Ye log desh ka naam badnaam karte hain, bahar bhejo inko.",hate,N/A,#nationalism,Mixed,Negative
161,Tum jaise log hi development ko oppose karte ho.,hate,New infrastructure projects will boost the economy.,#politics,Mixed,Negative
162,I think this new law will help small businesses.,non-hate,Government announced a new tax policy.,#politics,English,Positive
163,"Ye song ka vibe alag level ka hai, repeat pe hai.",non-hate,N/A,#music,Mixed,Positive
164,"Tum logon ki soch narrow-minded hai, grow up!",hate,N/A,#social media,Romanized,Negative
165,Aaj ghar pe power cut ne mood kharab kar diya.,non-hate,N/A,#daily life,Mixed,Negative
166,"Exam ke liye notes ready hain, bas luck chahiye.",non-hate,N/A,#education,Mixed,Neutral
167,Ye politicians ka corruption kabhi khatam nahi hoga.,hate,N/A,#politics,Mixed,Negative
168,"Ye gadget ka battery life zabardast hai, worth it!",non-hate,N/A,#technology,Mixed,Positive
169,Ye activists bas attention ke liye chillate hain.,hate,N/A,#social issues,Mixed,Negative
170,Online courses ne skills improve karne mein help ki.,non-hate,N/A,#education,Mixed,Positive
171,Ye log apne religion ke naam pe violence karte hain.,hate,N/A,#religion,Mixed,Negative
172,Kal ka traffic jam ne pura plan cancel kar diya.,non-hate,N/A,#daily life,Mixed,Negative
173,"Ye batsman flop hai, team ka load mat bano.",hate,N/A,#sports,Mixed,Negative
174,New movie ka trailer exciting lag raha hai.,non-hate,N/A,#movies,Mixed,Positive
175,Tum jaise log hi unity ko destroy karte ho.,hate,We should stand together as a nation.,#nationalism,Mixed,Negative
176,"This app saves time, bohot useful hai.",non-hate,N/A,#technology,Mixed,Positive
177,Ye trolls online bas negativity failate hain.,hate,N/A,#social media,Mixed,Negative
178,Aaj ka breakfast healthy aur tasty tha.,non-hate,N/A,#food,Mixed,Positive
179,Ye sarkar ka policy middle class ko loot rahi hai.,hate,N/A,#politics,Mixed,Negative
180,I believe everyone deserves equal opportunities.,non-hate,N/A,#social issues,English,Positive
181,Tum jaise log hi scams ko support karte ho.,hate,We need strict laws against corruption.,#politics,Mixed,Negative
182,Dost ke saath outing bohot fun thi aaj.,non-hate,N/A,#daily life,Mixed,Positive
183,Ye actors ka overacting unbearable ho gaya hai.,hate,N/A,#entertainment,Mixed,Negative
184,"Solar energy ka use badhana chahiye, future bright hai.",non-hate,N/A,#environment,Mixed,Positive
185,Ye log bas apne power ke liye desh bechte hain.,hate,N/A,#politics,Mixed,Negative
186,"Match ka result unexpected tha, thrill pura tha.",non-hate,N/A,#sports,Mixed,Positive
187,Tum jaise log hi women empowerment ko joke banate ho.,hate,Support gender equality.,#gender,Mixed,Negative
188,Morning meditation ne mind calm kar diya.,non-hate,N/A,#health,Mixed,Positive
189,"Ye media wale biased news dete hain, trust nahi.",hate,N/A,#media,Mixed,Negative
190,Ye new restaurant ka vibe cozy aur awesome hai.,non-hate,N/A,#food,Mixed,Positive
191,"Ye system inequality ko promote karta hai, change chahiye.",hate,N/A,#social issues,Mixed,Negative
192,"Remote work ne flexibility di hai, loving it!",non-hate,N/A,#work,Mixed,Positive
193,Tum jaise log hi peace ko disturb karte ho.,hate,Let‘«÷s promote harmony.,#religion,Mixed,Negative
194,"Aaj ka run energizing tha, fitness goals on track.",non-hate,N/A,#fitness,Mixed,Positive
195,Ye influencers ka drama fake aur irritating hai.,hate,N/A,#social media,Mixed,Negative
196,Ye smart TV ka picture quality mind-blowing hai.,non-hate,N/A,#technology,Mixed,Positive
197,Ye captain ka decision team ko duba dega.,hate,N/A,#sports,Mixed,Negative
198,Protein shake ne workout ke baad recovery boost ki.,non-hate,N/A,#health,Mixed,Positive
199,Ye government ka tax plan bas ameeron ke liye hai.,hate,N/A,#politics,Mixed,Negative
200,I think journaling helps with self-reflection.,non-hate,N/A,#health,English,Positive
201,Tum jaise log hi progress ke against hote ho.,hate,Society needs to evolve.,#social issues,Mixed,Negative
202,"Ye dessert ka taste heavenly tha, must try!",non-hate,N/A,#food,Mixed,Positive
203,"Ye outsiders apne rules thopte hain, unacceptable!",hate,N/A,#nationalism,Mixed,Negative
204,Aaj ka sunset peaceful aur beautiful tha.,non-hate,N/A,#daily life,Mixed,Positive
205,Tum jaise log hi online space ko toxic banate ho.,hate,Spread positivity online.,#social media,Mixed,Negative
206,This update ne app ko smooth aur fast bana diya.,non-hate,N/A,#technology,Mixed,Positive
207,Ye film ka climax boring aur predictable tha.,hate,N/A,#movies,Mixed,Negative
208,Recycling habits environment ke liye game-changer hain.,non-hate,N/A,#environment,Mixed,Positive
209,Tum jaise log hi women ko stereotype karte ho.,hate,Break gender norms.,#gender,Mixed,Negative
210,Online quiz ne knowledge test karne mein mazza diya.,non-hate,N/A,#education,Mixed,Positive
211,Ye neta ka promise ek aur jhootha wada hai.,hate,N/A,#politics,Mixed,Negative
212,I think AI will revolutionize industries.,non-hate,N/A,#technology,English,Positive
213,Ye log bas apne fayde ke liye public ko use karte hain.,hate,N/A,#politics,Mixed,Negative
214,Ye new album ka energy infectious hai.,non-hate,N/A,#music,Mixed,Positive
215,Tumhare jaise log hi equality ka mazak banate ho.,hate,Justice for all.,#social issues,Mixed,Negative
216,Aaj ka team meeting short aur effective tha.,non-hate,N/A,#work,Mixed,Positive
217,Ye reality shows ka content cheap aur scripted hai.,hate,N/A,#entertainment,Mixed,Negative
218,I believe in sustainable living for a better planet.,non-hate,N/A,#environment,English,Positive
219,Tum jaise log hi desh ke values ko kharab karte ho.,hate,Respect our culture.,#nationalism,Mixed,Negative
220,Home-cooked khana ka swad unbeatable hai.,non-hate,N/A,#food,Mixed,Positive
221,Ye serial ka storyline nonsense aur dragged hai.,hate,N/A,#entertainment,Mixed,Negative
222,Ye new earbuds ka sound crystal clear hai.,non-hate,N/A,#technology,Mixed,Positive
223,Ye player ka attitude team spirit ko ruin karta hai.,hate,N/A,#sports,Mixed,Negative
224,Daily stretching ne flexibility badha di hai.,non-hate,N/A,#health,Mixed,Positive
225,Ye sarkar ka education budget useless hai.,hate,N/A,#politics,Mixed,Negative
226,I think coding skills are essential today.,non-hate,N/A,#education,English,Positive
227,Tum jaise log hi patriarchy ko support karte ho.,hate,Equality matters.,#gender,Mixed,Negative
228,Ye coffee shop ka ambiance perfect hai.,non-hate,N/A,#food,Mixed,Positive
229,Ye foreigners apni identity impose karte hain.,hate,N/A,#nationalism,Mixed,Negative
230,Aaj ka rain ne garmi se relief diya.,non-hate,N/A,#daily life,Mixed,Positive
231,Tumhare jaise log hi hate comments se fame chahte ho.,hate,Keep it respectful.,#social media,Mixed,Negative
232,This fitness app ne routine organize kiya.,non-hate,N/A,#technology,Mixed,Positive
233,Ye singers ka live performance flat aur boring tha.,hate,N/A,#music,Mixed,Negative
234,Mujhe lagta hai ki clean energy future hai.,non-hate,N/A,#environment,Mixed,Positive
235,Ye log bas apne agenda ke liye diversity ka natak karte hain.,hate,N/A,#social issues,Mixed,Negative
236,Group study ne revision easy bana diya.,non-hate,N/A,#education,Mixed,Positive
237,Ye media ka narrative public ko mislead karta hai.,hate,N/A,#media,Mixed,Negative
238,I think hybrid cars are eco-friendly.,non-hate,N/A,#environment,English,Positive
239,Tum jaise log hi unity ko weaken karte ho.,hate,Together we stand.,#religion,Mixed,Negative
240,Aaj ka yoga session refreshing tha.,non-hate,N/A,#fitness,Mixed,Positive
241,Ye content creators ka hype overrated hai.,hate,N/A,#social media,Mixed,Negative
242,Ye new phone ka camera next-level hai.,non-hate,N/A,#technology,Mixed,Positive
243,Ye coach ka plan team ko fail karwaega.,hate,N/A,#sports,Mixed,Negative
244,Herbal tea ne sleep improve kar di hai.,non-hate,N/A,#health,Mixed,Positive
245,Ye government ka scheme bas vote bank ke liye hai.,hate,N/A,#politics,Mixed,Negative
246,I think e-books are convenient for students.,non-hate,N/A,#education,English,Positive
247,Tum jaise log hi inclusivity ka drama karte ho.,hate,Be genuine.,#social issues,Mixed,Negative
248,Ye new pizza place ka taste awesome hai.,non-hate,N/A,#food,Mixed,Positive
249,Ye log desh ke culture ko disrespect karte hain.,hate,N/A,#nationalism,Mixed,Negative
250,Aaj ka commute smooth aur quick tha.,non-hate,N/A,#daily life,Mixed,Positive
251,Tumhare jaise log hi online negativity badhate ho.,hate,Promote kindness.,#social media,Mixed,Negative
252,This app ka interface user-friendly hai.,non-hate,N/A,#technology,Mixed,Positive
253,Ye movie ka script pathetic aur lazy tha.,hate,N/A,#movies,Mixed,Negative
254,Tree plantation ne local climate pe effect dikhaya.,non-hate,N/A,#environment,Mixed,Positive
255,Tum jaise log hi women ko limit karte ho.,hate,Empower women.,#gender,Mixed,Negative
256,Kal ka seminar informative aur engaging tha.,non-hate,N/A,#education,Mixed,Positive
257,Ye neta ka agenda divisive aur dangerous hai.,hate,N/A,#politics,Mixed,Negative
258,I think drones will transform delivery systems.,non-hate,N/A,#technology,English,Positive
259,Ye log bas apne power ke liye public ko fool banate hain.,hate,N/A,#politics,Mixed,Negative
260,Ye new track ka rhythm addictive hai.,non-hate,N/A,#music,Mixed,Positive
261,Tumhare jaise log hi justice ko undermine karte ho.,hate,Fairness for all.,#social issues,Mixed,Negative
262,Aaj ka brainstorming session productive tha.,non-hate,N/A,#work,Mixed,Positive
263,Ye TV ads ka content annoying aur repetitive hai.,hate,N/A,#media,Mixed,Negative
264,I believe mindfulness improves focus.,non-hate,N/A,#health,English,Positive
265,Tum jaise log hi desh ke pride ko hurt karte ho.,hate,Honor our nation.,#nationalism,Mixed,Negative
266,Ye street food ka flavor unbeatable hai.,non-hate,N/A,#food,Mixed,Positive
267,Ye web series ka hype bas marketing gimmick hai.,hate,N/A,#entertainment,Mixed,Negative
268,Ye smartwatch ka fitness tracking accurate hai.,non-hate,N/A,#technology,Mixed,Positive
269,Ye referee ka decision biased aur unfair tha.,hate,N/A,#sports,Mixed,Negative
270,Daily walks ne stress kam kar diya hai.,non-hate,N/A,#health,Mixed,Positive
271,Ye sarkar ka manifesto bas jhooth ka pulinda hai.,hate,N/A,#politics,Mixed,Negative
272,I think virtual classrooms are innovative.,non-hate,N/A,#education,English,Positive
273,Tum jaise log hi equality ka natak karte ho.,hate,Be real.,#social issues,Mixed,Negative
274,Ye new ice cream flavor refreshing hai.,non-hate,N/A,#food,Mixed,Positive
275,Ye log apne culture ke naam pe hate spread karte hain.,hate,N/A,#nationalism,Mixed,Negative
276,Aaj ka weather picnic ke liye ideal tha.,non-hate,N/A,#daily life,Mixed,Positive
277,Tumhare jaise log hi social media ko garbage banate ho.,hate,Keep it clean.,#social media,Mixed,Negative
278,This gadget ka design sleek aur practical hai.,non-hate,N/A,#technology,Mixed,Positive
279,Ye singer ka latest track flop aur soulless hai.,hate,N/A,#music,Mixed,Negative
280,Mujhe lagta hai ki public transport eco-friendly hai.,non-hate,N/A,#environment,Mixed,Positive
281,Ye log bas apne ego ke liye society ko divide karte hain.,hate,N/A,#social issues,Mixed,Negative
282,Peer discussion ne concept clear kar diya.,non-hate,N/A,#education,Mixed,Positive
283,Ye politicians ka double standard expose hona chahiye.,hate,N/A,#politics,Mixed,Negative
284,I think smart homes are the future.,non-hate,N/A,#technology,English,Positive
285,Tum jaise log hi communal harmony ko khatre mein dalte ho.,hate,Peace matters.,#religion,Mixed,Negative
286,Aaj ka workout challenging but rewarding tha.,non-hate,N/A,#fitness,Mixed,Positive
287,Ye influencers ka paid content trust nahi dilata.,hate,N/A,#social media,Mixed,Negative
288,Ye new laptop ka performance top-notch hai.,non-hate,N/A,#technology,Mixed,Positive
289,"Ye team ka coordination zero hai, haar deserve karte hain.",hate,N/A,#sports,Mixed,Negative
290,Home remedies ne cold se relief diya.,non-hate,N/A,#health,Mixed,Positive
291,Ye government ka control freak attitude democracy ko khatam karega.,hate,N/A,#politics,Mixed,Negative
292,I think podcasts broaden perspectives.,non-hate,N/A,#education,English,Positive
293,Tum jaise log hi gender equality ko hypocrisy banate ho.,hate,Be fair.,#gender,Mixed,Negative
294,Ye bakery ka bread fresh aur tasty tha.,non-hate,N/A,#food,Mixed,Positive
295,"Ye log desh ke resources loot rahe hain, traitors!",hate,N/A,#nationalism,Mixed,Negative
296,Aaj ka metro ride hassle-free tha.,non-hate,N/A,#daily life,Mixed,Positive
297,Tumhare jaise log hi online arguments ko personal banate ho.,hate,Debate respectfully.,#social media,Mixed,Negative
298,This app ka AI feature impressive hai.,non-hate,N/A,#technology,Mixed,Positive
299,Ye film ka editing shoddy aur amateurish tha.,hate,N/A,#movies,Mixed,Negative
